Distillation:  15%|███████                                        | 1499/10000 [18:24<1:44:07,  1.36it/s, align=0.7373, distill=5.9808, loss=15.7307]
Step 50 | Loss: 2936.3042 | L_distill: 2084.2129 | L_align: 1.0955 | L_KL: 8411.3633
Step 100 | Loss: 254.2316 | L_distill: 174.7242 | L_align: 0.9594 | L_KL: 699.1361
Step 150 | Loss: 38.7930 | L_distill: 21.9163 | L_align: 0.8151 | L_KL: 87.2565
Step 200 | Loss: 32.1332 | L_distill: 16.2609 | L_align: 0.9533 | L_KL: 63.3930
Step 250 | Loss: 51.4281 | L_distill: 29.1014 | L_align: 0.9528 | L_KL: 127.9889
Step 300 | Loss: 19.1443 | L_distill: 7.0491 | L_align: 0.9271 | L_KL: 28.2460
Step 350 | Loss: 17.8549 | L_distill: 5.7534 | L_align: 0.9659 | L_KL: 24.4286
Step 400 | Loss: 20.1813 | L_distill: 6.3009 | L_align: 1.1348 | L_KL: 25.3216
Step 450 | Loss: 879.4749 | L_distill: 620.2410 | L_align: 0.7849 | L_KL: 2513.8511
Step 500 | Loss: 23.7297 | L_distill: 10.1325 | L_align: 0.9701 | L_KL: 38.9627
Saved checkpoints to checkpoints/distill_e2e
Step 550 | Loss: 352.8464 | L_distill: 244.2448 | L_align: 0.7477 | L_KL: 1011.2468
Step 600 | Loss: 4214.8477 | L_distill: 2977.8188 | L_align: 1.0008 | L_KL: 12270.2148
Step 650 | Loss: 2053.0430 | L_distill: 1460.6526 | L_align: 0.8735 | L_KL: 5836.5566
Step 700 | Loss: 13.8422 | L_distill: 1.9072 | L_align: 1.1165 | L_KL: 7.7015
Step 750 | Loss: 15.2202 | L_distill: 5.0624 | L_align: 0.8117 | L_KL: 20.4102
Step 800 | Loss: 1278.4265 | L_distill: 909.3441 | L_align: 0.9270 | L_KL: 3598.1245
Step 850 | Loss: 16.4102 | L_distill: 5.8927 | L_align: 0.8260 | L_KL: 22.5770
Step 900 | Loss: 222.9728 | L_distill: 152.0031 | L_align: 1.0980 | L_KL: 599.9028
Step 950 | Loss: 98.8775 | L_distill: 57.3692 | L_align: 0.9493 | L_KL: 320.1573
Step 1000 | Loss: 1271.6808 | L_distill: 892.2303 | L_align: 0.7920 | L_KL: 3715.3010
Saved checkpoints to checkpoints/distill_e2e
Step 1050 | Loss: 198.4660 | L_distill: 131.4992 | L_align: 0.6878 | L_KL: 600.8928
Step 1100 | Loss: 54.6560 | L_distill: 29.5229 | L_align: 0.9964 | L_KL: 151.6876
Step 1150 | Loss: 131.4917 | L_distill: 88.0212 | L_align: 0.6891 | L_KL: 365.7908
Step 1200 | Loss: 10.2983 | L_distill: 2.8887 | L_align: 0.6280 | L_KL: 11.2909
Step 1250 | Loss: 114.8687 | L_distill: 76.9413 | L_align: 0.7914 | L_KL: 300.1294
Step 1300 | Loss: 20.3384 | L_distill: 8.1653 | L_align: 0.8523 | L_KL: 36.5028
Step 1350 | Loss: 58.0601 | L_distill: 33.1493 | L_align: 1.0454 | L_KL: 144.5644
Step 1400 | Loss: 24.9522 | L_distill: 12.0019 | L_align: 0.7654 | L_KL: 52.9601
Step 1450 | Loss: 19.0302 | L_distill: 7.0681 | L_align: 0.9055 | L_KL: 29.0668
Step 1500 | Loss: 15.7307 | L_distill: 5.9808 | L_align: 0.7373 | L_KL: 23.7673
Saved checkpoints to checkpoints/distill_e2e
Step 1550 | Loss: 22.1003 | L_distill: 8.7760 | L_align: 0.9258 | L_KL: 40.6672
Step 1600 | Loss: 18.1258 | L_distill: 7.5099 | L_align: 0.7162 | L_KL: 34.5431
Step 1650 | Loss: 840.2779 | L_distill: 578.1602 | L_align: 0.8480 | L_KL: 2536.3726
Step 1700 | Loss: 15.2189 | L_distill: 3.0734 | L_align: 1.0919 | L_KL: 12.2674
Step 1750 | Loss: 33.8441 | L_distill: 19.6964 | L_align: 0.6204 | L_KL: 79.4412
Step 1800 | Loss: 9.6892 | L_distill: 1.0167 | L_align: 0.8248 | L_KL: 4.2451
Step 1850 | Loss: 143.2767 | L_distill: 89.5835 | L_align: 0.8000 | L_KL: 456.9290
